name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Jim Lewis,Right,75,190,0,0,,R
Joe Charboneau,Right,74,205,0.266,29,,R
Jimmie Schaffer,Right,69,170,0.223,11,,R
Junior Kennedy,Right,71,175,0.248,4,,R
Wilbur Howard,Both,74,170,0.25,6,,B
Rod Gilbreath,Right,74,180,0.248,14,,R
Mark Brouhard,Right,73,210,0.259,25,,R
Dan Morogiello,Left,73,200,0,0,,L
Mike Young,Both,74,195,0.247,72,,B
Chris Speier,Right,73,175,0.246,112,,R
Gene Michael,Both,74,183,0.229,15,,B
Vic Harris,Both,71,165,0.217,13,,B
Mike Fischlin,Right,73,165,0.22,3,,R
Don Money,Right,73,170,0.261,176,,R
Joe Rudi,Right,74,200,0.264,179,,R
Jim Rice,Right,74,200,0.298,382,,R
Shawn Holman,Right,74,185,0,0,,R
Alan Wirth,Right,76,190,0,0,,R
Gil Garrido,Right,69,150,0.237,1,,R
Marty Perez,Right,71,160,0.246,22,,R
Tom Matchick,Left,73,173,0.215,4,,L
Jack Perconte,Left,70,160,0.27,2,,L
Ed Kirkpatrick,Left,71,195,0.238,85,,L
Jerry Grote,Right,70,185,0.252,39,,R
Ellie Hendricks,Left,73,175,0.22,62,,L
Jim Beauchamp,Right,74,190,0.231,14,,R
Terry Wilshusen,Right,74,210,0,0,,R
Tito Fuentes,Both,71,175,0.268,45,,B
Ron Brand,Right,67,167,0.239,3,,R
Leo Cardenas,Right,71,150,0.257,118,,R
Art Shamsky,Left,73,168,0.253,68,,L
Steve Ellsworth,Right,80,220,0,0,,R
Ron Cey,Right,70,185,0.261,316,,R
Skip Jutze,Right,71,190,0.215,3,,R
Butch Wynegar,Both,73,190,0.255,65,,B
Ron LeFlore,Right,72,200,0.288,59,,R
Bill Russell,Right,72,175,0.263,46,,R
Gene Tenace,Right,72,190,0.241,201,,R
Bubba Morton,Right,70,175,0.267,14,,R
Ellie Rodriguez,Right,71,185,0.245,16,,R
Darrel Chaney,Both,74,188,0.217,14,,B
Dick Nen,Left,74,200,0.224,21,,L
Bryan Kelly,Right,74,195,0,0,,R
Bill Freehan,Right,75,203,0.262,200,,R
Steve Nicosia,Right,70,185,0.248,11,,R
Ted Savage,Right,73,185,0.233,34,,R
Pete Mackanin,Right,74,190,0.226,30,,R
Rich Dauer,Right,72,180,0.257,43,,R
Mick Kelleher,Right,69,176,0.213,0,,R
Rowland Office,Left,72,170,0.259,32,,L
Rick Leach,Left,73,180,0.268,18,,L
Dwayne Murphy,Left,73,185,0.246,166,,L
Larry Harlow,Left,74,185,0.248,12,,L
Mike Epstein,Left,75,230,0.244,130,,L
Jerry Mumphrey,Both,74,185,0.289,70,,B
Don Sutton,Right,73,185,0.144,0,,R
Glenn Beckert,Right,73,190,0.283,22,,R
Ron Davis,Right,72,175,0.233,10,,R
Mike Shannon,Right,75,195,0.255,68,,R
Jason Thompson,Left,76,200,0.261,208,,L
Wayne Tolleson,Both,69,160,0.241,9,,B
John Leister,Right,74,200,0,0,,R
Don Cooper,Right,73,185,0,0,,R
Mike Jorgensen,Left,72,195,0.243,95,,L
Ed Romero,Right,71,160,0.247,8,,R
Rick Joseph,Right,73,192,0.243,13,,R
Cecil Cooper,Left,74,165,0.298,241,,L
Bill Almon,Right,75,180,0.254,36,,R
Joe Ferguson,Right,74,200,0.24,122,,R
Jeff Jones,Right,75,210,0,0,,R
Jerry Terrell,Right,71,165,0.253,4,,R
John Poloni,Left,77,210,0,0,,L
Dave Revering,Left,76,210,0.265,62,,L
Curt Ford,Left,70,150,0.245,7,,L
Jerry Dybzinski,Right,74,180,0.234,3,,R
Mike Willis,Left,74,205,0,0,,L
Bob Burda,Left,71,174,0.224,13,,L
Jesse Gonder,Left,70,180,0.251,26,,L
Gary Sutherland,Right,72,185,0.243,24,,R
Bob Coluccio,Right,71,183,0.22,26,,R
Dave Rader,Left,71,165,0.257,30,,L
Ron Gardenhire,Right,72,175,0.232,4,,R
Bill Sharp,Left,70,178,0.255,9,,L
Alan Bannister,Right,71,170,0.27,19,,R
Bob Watson,Right,72,201,0.295,184,,R
Ken Harrelson,Right,74,190,0.239,131,,R
Bobby Wine,Right,73,187,0.215,30,,R
Stefan Wever,Right,80,245,0,0,,R
John Kennedy,Right,72,185,0.225,32,,R
Chico Ruiz,Both,72,169,0.24,2,,B
Dave Johnson,Right,73,183,0,0,,R
Gail Hopkins,Left,70,198,0.266,25,,L
Doug Frobel,Left,76,196,0.201,20,,L
Luis Melendez,Right,72,165,0.248,9,,R
Jerry Augustine,Left,72,183,0,0,,L
Bill Plummer,Right,73,190,0.188,14,,R
Buck Rodgers,Both,74,190,0.232,31,,B
Phil Niekro,Right,73,180,0.169,7,,R
Jeff Holly,Left,77,210,0,0,,L
Tom Poquette,Left,70,175,0.268,10,,L
Eric Hetzel,Right,75,175,0,0,,R
Brian Asselstine,Left,73,175,0.254,12,,L
Rick Miller,Left,72,175,0.269,28,,L
Ed Charles,Right,70,170,0.263,86,,R
