name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Joe Horlen,Right,72,170,0.134,0,,R
Glenn Burke,Right,72,195,0.237,2,,R
Tony Mack,Right,70,177,0,0,,R
Terry Humphrey,Right,75,185,0.211,6,,R
Bill Moran,Right,76,210,0,0,,R
Enzo Hernandez,Right,68,155,0.224,2,,R
Cesar Gutierrez,Right,69,155,0.235,0,,R
Coco Laboy,Right,70,165,0.233,28,,R
Ted Kubiak,Both,72,175,0.231,13,,B
Jim Morrison,Right,71,175,0.26,112,,R
Tom Gilles,Right,73,185,0,0,,R
Bobby Knoop,Right,73,170,0.236,56,,R
Bobby Brown,Both,74,190,0.245,26,,B
Tom Hutton,Left,71,180,0.248,22,,L
